iter,bp,mode,cap,deep1_lat_s,deep2_lat_s,deep3_lat_s,churn_tps,consult_calls,hit,noncontig,construct_BAD,served,degraded
1,64M,0,1000,51.03255950,50.00010950,50.75389625,11086.39,3000,3000,0,0,0,1
2,64M,0,1000,50.81421325,47.77849725,49.26725125,10605.60,3000,3000,0,0,0,1
3,64M,0,1000,48.49705800,50.80198900,48.06147875,10361.13,3000,2169,831,0,0,1
1,64M,1,1000,2.94228375,3.02545775,3.08205675,NA,3000,2997,3,0,2995,1
2,64M,1,1000,0.22442100,0.52497800,3.20426725,NA,3000,2998,2,0,2996,0
3,64M,1,1000,3.38557375,2.86729525,0.30568900,NA,3000,2998,2,0,2996,1
4,64M,1,1000,2.54286425,2.73990675,2.68772500,NA,3000,2997,3,0,2995,1
5,64M,1,1000,2.73284250,0.49632050,2.95024875,NA,3000,2998,2,0,2996,1
6,64M,1,1000,2.70662600,0.46198050,0.37331750,NA,3000,2998,2,0,2996,1
7,64M,1,1000,3.01871250,10.68940425,38.63831600,9766.44,3000,2255,745,0,2253,1
8,64M,1,1000,36.65666450,36.46791275,36.32688600,11564.68,3000,2133,867,0,2131,1
1,64M,2,1000,45.08782250,44.23327875,44.46008150,9818.85,3000,2999,1,0,2999,1
2,64M,2,1000,49.77444225,49.51550325,49.56870800,10338.80,3000,2999,1,0,2999,1
3,64M,2,1000,41.22500375,40.58774250,42.00075575,9532.65,3000,3000,0,0,3000,1
1,4G,1,1000,0.26453950,0.29821525,0.26783250,NA,3000,2998,2,0,2996,0
2,4G,1,1000,0.19943500,0.27429700,0.30944625,NA,3000,2998,2,0,2996,0
3,4G,1,1000,0.35535800,0.29564950,0.29326075,NA,3000,2995,5,0,2993,0
