iter,bp,mode,deep1_lat_s,phys_reads,consult_calls,hit,hit_pct,construct_BAD,served,innodb_hll
1,4G,0,0.25726200,0,2000,1986,99.3,0,0,88768
2,4G,0,0.30438050,0,2000,1994,99.7,0,0,87721
3,4G,0,0.28255050,0,2000,1996,99.8,0,0,89422
1,4G,1,0.12088950,0,2000,1996,99.8,0,1995,87536
2,4G,1,0.09682775,0,2000,1990,99.5,0,1989,87480
3,4G,1,0.07973700,0,2000,1990,99.5,0,1989,88861
1,256M,0,0.28085000,0,2000,1994,99.7,0,0,92067
2,256M,0,0.23896625,0,2000,1996,99.8,0,0,90815
3,256M,0,0.26407850,0,2000,1996,99.8,0,0,91336
1,256M,1,0.09534175,0,2000,1998,99.9,0,1997,90363
2,256M,1,0.12699950,0,2000,1990,99.5,0,1989,88412
3,256M,1,0.08986925,0,2000,1998,99.9,0,1997,87647
1,64M,0,3.81252475,30536,2000,1996,99.8,0,0,80823
2,64M,0,4.38433325,32837,2000,1996,99.8,0,0,81399
3,64M,0,4.24671825,25110,2000,1994,99.7,0,0,79889
1,64M,1,0.14645800,468,2000,1990,99.5,0,1989,80883
2,64M,1,0.13121000,351,2000,1996,99.8,0,1995,81635
3,64M,1,0.18063250,542,2000,1996,99.8,0,1995,80375
