iter,bp,mode,cap,deep1_lat_s,phys_reads,hit,hit_pct,noncontig,construct_BAD,served
1,128M,0,500,0.27496925,0,997,99.7,3,0,0
2,128M,0,500,0.21720325,0,999,99.9,1,0,0
3,128M,0,500,0.24529475,0,997,99.7,3,0,0
1,128M,1,500,0.09023700,0,999,99.9,1,0,999
2,128M,1,500,0.07981225,0,997,99.7,3,0,997
3,128M,1,500,0.09268525,0,995,99.5,5,0,995
1,96M,0,500,0.27679725,0,766,76.6,234,0,0
2,96M,0,500,0.27015625,0,774,77.4,226,0,0
3,96M,0,500,0.25168275,1,769,76.9,231,0,0
1,96M,1,500,0.19761350,0,792,79.2,208,0,792
2,96M,1,500,0.20774300,0,776,77.6,224,0,776
3,96M,1,500,0.21100375,0,0,0.0,1000,0,0
